tag,text
EXAMPLE,You can bash the toy about and it still won't break. 
HEADWORD,bash away at
DEFINITION,to continue to work hard on something
EXAMPLE,She's still bashing away at her last chapter.
HEADWORD,bash in
DEFINITION,to damage something or injure someone by hitting them hard and violently
EXAMPLE,One side of his head had been bashed in. 
HEADWORD,bash on
DEFINITION,to continue to do something when you would prefer to stop
EXAMPLE,I'll bash on for another hour or so. 
HEADWORD,bash out
DEFINITION,to produce something very quickly and without working very hard
EXAMPLE,She bashes out two or three songs a week. 
HEADWORD,bash up
DEFINITION,to hit someone hard and violently several times
EXAMPLE,He's always trying to bash his little brother up.
HEADWORD,bask in
DEFINITION,"to enjoy people's attention and approval, especially when you have achieved a great success"
EXAMPLE,"For now, she is content to bask in her new-found fame. "
HEADWORD,bat around
DEFINITION,to discuss ideas or plans in an informal way
EXAMPLE,Let's try batting around some thoughts on the project. 
HEADWORD,batten down
DEFINITION,to make something such as a door or window safe by closing it tightly or fastening it with a piece of wood
EXAMPLE,"The ship had battened down, ready for the storm. "
HEADWORD,batten on
DEFINITION,"to use someone or something for your own purposes, in an unfair or unkind way"
EXAMPLE,"He struggled to support his large family of aunts and uncles, who battened on him relentlessly. "
HEADWORD,batter down
DEFINITION,"to hit something such as a door or gate several times until it is broken, in order to get through it"
EXAMPLE,Firefighters had to batter the door down to reach the family. 
HEADWORD,baulk at
DEFINITION,to be unwilling to do or accept something because you think it will cause problems
EXAMPLE,"They wanted the house, but they baulked at the price. "
HEADWORD,bawl out
DEFINITION,to speak angrily to someone because of something wrong that they have done
EXAMPLE,He got mad and started bawling out the waiter. 
HEADWORD,beam down
DEFINITION,"in science-fiction stories, to send someone down onto a planet from a space vehicle using special electronic equipment that makes them appear there suddenly"
EXAMPLE,"Beam us down, Mr Scott. "
HEADWORD,beam up
DEFINITION,"in science-fiction stories, to bring someone back to their space vehicle using special electronic equipment that makes them appear there suddenly"
EXAMPLE,She gave the order to beam them up. 
HEADWORD,bear down
DEFINITION,to push or press downwards
EXAMPLE,It's a natural instinct for a woman giving birth to bear down. 
HEADWORD,bear down on
DEFINITION,to move towards someone in a determined and threatening way
EXAMPLE,I could see a police car bearing down on us. 
HEADWORD,bear on
DEFINITION,"to be relevant to something, or to influence something"
EXAMPLE,Do you have any information bearing on his disappearance? 
HEADWORD,bear out
DEFINITION,to show that something is true or that someone is telling the truth
EXAMPLE,Scientific evidence bears out the claim that stress and disease are linked. 
HEADWORD,bear up
DEFINITION,to behave bravely in a sad or difficult situation
EXAMPLE,'How is she?' 'She's bearing up remarkably well.' 
HEADWORD,bear with
DEFINITION,used to ask someone to be patient with you while you do or finish something
EXAMPLE,Just bear with me - I'll explain everything shortly.
HEADWORD,beat against
DEFINITION,to hit something continuously or over a long period of time
EXAMPLE,The rain was beating against the window.
HEADWORD,beat off
DEFINITION,to succeed in winning or gaining something from an opponent
EXAMPLE,Virgin Airlines must beat off stiff competition to win the contract. 
HEADWORD,beat on
DEFINITION,to hurt someone by hitting them a lot of times
EXAMPLE,"According to the witness, the police ran up and started beating on him."
HEADWORD,beat out
DEFINITION,to stop a fire from burning by hitting it with something
EXAMPLE,She beat out the flames with a branch. 
HEADWORD,beat out of
DEFINITION,to force someone to tell you something by using physical violence against them
EXAMPLE,He claims the confession was beaten out of him.
HEADWORD,beat up
DEFINITION,to hurt someone by hitting or kicking them a lot of times
EXAMPLE,Prisoners claim that they were regularly beaten up by guards. 
HEADWORD,beat up on
DEFINITION,to hurt someone by hitting or kicking them a lot of times
EXAMPLE,He and his brother are always beating up on each other. 
HEADWORD,become of
DEFINITION,"used for asking what has happened to someone or something, because you have not seen them for a long time, or for asking what will happen to them, because you are worried about them"
EXAMPLE,"If she is sent to prison, what will become of her children? "
HEADWORD,bed down
DEFINITION,"to lie down somewhere to sleep, especially in a place that is not your usual bed"
EXAMPLE,We ate our meal round the campfire then bedded down for the night. 
HEADWORD,bed out
DEFINITION,to plant young plants outdoors
EXAMPLE,Bean plants can be bedded out in late April.
HEADWORD,beef up
DEFINITION,"to increase or improve something, or to make something better or more interesting"
EXAMPLE,Security has been considerably beefed up in advance of the President's visit on Thursday. 
HEADWORD,beetle off
DEFINITION,to go somewhere quickly
EXAMPLE,He beetled off to find some extra chairs.
HEADWORD,beg off
DEFINITION,to say that you are not going to do something that you had previously agreed to do
EXAMPLE,I'm afraid I'm going to have to beg off this time. 
HEADWORD,believe in
DEFINITION,to think that something exists
EXAMPLE,I don't believe in miracles. 
HEADWORD,belong to
DEFINITION,to be owned by someone
EXAMPLE,The sports car belongs to the woman next door. 
HEADWORD,belt down
DEFINITION,"to drink alcoholic drinks quickly, one after another"
EXAMPLE,She was belting down shots of whiskey.
HEADWORD,belt out
DEFINITION,"to shout or sing something loudly, or to play something loudly on a musical instrument"
EXAMPLE,The band were belting out some old rock'n'roll songs.
HEADWORD,belt up
DEFINITION,"to fasten the belt that keeps you safe in your seat in a car, on a plane etc"
EXAMPLE,Make sure the kids belt up. 
HEADWORD,bend down
DEFINITION,"to lean forwards and downwards, or to move the top part of your body forwards and downwards"
EXAMPLE,Helen bent down to pick up her pen.
HEADWORD,bend over
DEFINITION,"to lean forwards and downwards, or lean over something"
EXAMPLE,She bent over to look more closely at my face. 
HEADWORD,bestow on
DEFINITION,to give someone something valuable such as property or a prize
EXAMPLE,He bestowed all his land upon his daughter and her husband. 
HEADWORD,bet on
DEFINITION,"to risk an amount of money by saying what you think will happen, especially in a race or game"
EXAMPLE,I bet £25 on the Czech Republic to win the tournament. 
HEADWORD,beware of
DEFINITION,"used, especially on signs and notices, for warning people that there might be danger or problems"
EXAMPLE,There was a sign on the door saying 'Beware of the Dog'. 
HEADWORD,big up
DEFINITION,"to praise or support someone or something in an enthusiastic way, and attract attention to them by doing this"
EXAMPLE,It was an article bigging up some new dj. 
HEADWORD,bill as
DEFINITION,"to advertise or describe someone or something in a particular way, especially in order to make them sound interesting or important"
EXAMPLE,Electric cars are being billed as the automobiles of the future. 
HEADWORD,bind together
DEFINITION,to make two people or groups feel that they have a very strong connection or relationship with each other
EXAMPLE,There is a feeling that European nations are inevitably bound together in some way. 
HEADWORD,be bound up with
DEFINITION,to be connected very closely
EXAMPLE,His political philosophy was closely bound up with his religious beliefs.
HEADWORD,bitch out
DEFINITION,to criticize or shout at someone angrily because they have done something wrong
EXAMPLE,I had to stand there and get bitched out by my sergeant. 
HEADWORD,bite at
DEFINITION,to try to bite something without in fact managing to bite it
EXAMPLE,The animals might bite at your fingers if you put them through the fence.
HEADWORD,bite back
DEFINITION,"to stop yourself from saying what you really think, or showing what you really feel"
EXAMPLE,Paul bit back an angry reply. 
HEADWORD,bite into
DEFINITION,to press hard into a surface
EXAMPLE,The metal collar bit into his neck.
HEADWORD,bite off
DEFINITION,to separate something from the main part by biting
EXAMPLE,His right leg had been bitten off by a shark. 
HEADWORD,black out
DEFINITION,to suddenly become unconscious
EXAMPLE,He had blacked out as his car hit the tree. 
HEADWORD,blanket in
DEFINITION,to cover something with a layer of something such as snow
EXAMPLE,"When I woke, the valley was blanketed with snow. "
HEADWORD,blare out
DEFINITION,to make a loud and unpleasant noise
EXAMPLE,The radio has been blaring out that dreadful music all day.
HEADWORD,bleep out
DEFINITION,"to replace a swearword in a television or radio broadcast with a short high sound, so that people are not offended"
EXAMPLE,About half the performance had to be bleeped out. 
HEADWORD,blend into
DEFINITION,to seem to gradually change into something else
EXAMPLE,Her dreams had a way of blending into her waking thoughts. 
HEADWORD,bliss out
DEFINITION,"to go into a happy relaxed state, or to make someone feel relaxed and happy"
EXAMPLE,"Just curl, up, relax, and bliss out to the sound of your favourite love songs. "
HEADWORD,block in
DEFINITION,to leave your car or some other object so close to someone else's car that they do not have enough room to move
EXAMPLE,When I came back to the car park my car was blocked in. 
HEADWORD,block off
DEFINITION,"to completely cover or close an entrance, gate, road etc so that nothing can move through it"
EXAMPLE,Snow had blocked off several streets. 
HEADWORD,block out
DEFINITION,to stop light or sound from reaching a place
EXAMPLE,That tree in the neighbour's garden blocks out a lot of the light. 
HEADWORD,block up
DEFINITION,"to stop something moving through or along something else, for example a pipe"
EXAMPLE,We had continual problems with leaves blocking up the gutters. 
HEADWORD,blot out
DEFINITION,to cover something so that you can no longer see it
EXAMPLE,Dark clouds overhead had blotted out the sun. 
HEADWORD,blot up
DEFINITION,to remove liquid from the surface of something by using a piece of paper or cloth
EXAMPLE,Blot up any excess ink. 
HEADWORD,blow apart
DEFINITION,to destroy something with an explosion
EXAMPLE,Several vehicles were blown apart in the high winds. 
HEADWORD,blow in
DEFINITION,to come towards you in the air
EXAMPLE,A cool breeze blew in from the coast. 
HEADWORD,bludgeon into
DEFINITION,to force someone into doing something by using repeated arguments or threats
EXAMPLE,We were bludgeoned into accepting their offer.
HEADWORD,blunder around
DEFINITION,"to move or progress in a clumsy or accidental way, making mistakes or creating problems as you go"
EXAMPLE,Someone was blundering around in the darkness.
HEADWORD,blunder into
DEFINITION,to become involved in something by accident
EXAMPLE,The book tells the story of how Europe blundered into World War I.
HEADWORD,blurt out
DEFINITION,"to say something suddenly and without thinking about the effect it will have, usually because you are nervous or excited"
EXAMPLE,"She blurted out his name, then gasped as she realized what she'd done. "
HEADWORD,board off
DEFINITION,to hide or protect something by putting wooden boards over or around it
EXAMPLE,Part of the garage had been boarded off during building works.
HEADWORD,board out
DEFINITION,to arrange for a person or animal to stay with someone who is paid to look after them for a period of time
EXAMPLE,The children were boarded out with foster parents. 
HEADWORD,board over
DEFINITION,to cover something with wooden boards
EXAMPLE,They boarded over all the old fireplaces.
HEADWORD,board up
DEFINITION,"to cover a window or door with wooden boards, especially to stop people getting in when a building is empty"
EXAMPLE,All the windows were either broken or boarded up. 
HEADWORD,bob up
DEFINITION,to move up and come into view with a short quick movement
EXAMPLE,A head bobbed up from behind the fence.
HEADWORD,bodge up
DEFINITION,"to do something badly, especially to make or repair something badly because you do not have enough time or the right materials to do it properly"
EXAMPLE,The builders completely bodged up the plastering. 
HEADWORD,get bogged down
DEFINITION,to become so involved with one particular part of a process that you cannot make any progress
EXAMPLE,The meeting got bogged down with disputes about who was going to do what. 
HEADWORD,boggle at
DEFINITION,to be so surprised or shocked at something that you are almost unable to believe it
EXAMPLE,I just boggle at how much these lawyers earn.
HEADWORD,boil down
DEFINITION,"to become smaller in quantity after cooking because some of the liquid has turned to gas, or to make something do this"
EXAMPLE,"When the sauce has boiled down, add the chopped herbs. "
HEADWORD,boil down to
DEFINITION,to be the main reason for something or the most basic part of something
EXAMPLE,"It's difficult to choose which appliance to buy, but in the end it usually boils down to cost. "
HEADWORD,bolster up
DEFINITION,to make something stronger or more effective
EXAMPLE,The campaign is designed to bolster up the government's image as being tough on crime.
HEADWORD,bolt down
DEFINITION,to eat food very quickly
EXAMPLE,She bolted down her lunch and rushed back to work. 
HEADWORD,bomb out
DEFINITION,to be very unsuccessful
EXAMPLE,The play bombed out - it only ran for two nights. 
HEADWORD,bomb out of
DEFINITION,to have to leave something such as an industry or a competition because you have failed badly or you have been easily defeated
EXAMPLE,"After only six months, the company bombed out of the computer software business."
HEADWORD,bombard with
DEFINITION,"to ask someone so many questions, or give them so much information, that it is difficult for them to deal with it all"
EXAMPLE,She bombarded him with faxes and called his office repeatedly. 
HEADWORD,bone up
DEFINITION,"to learn as much as possible about something in order to prepare for a test, meeting etc"
EXAMPLE,He's boning up for his final exams. 
HEADWORD,book in
DEFINITION,"to say that you have arrived when you get to a hotel, clinic etc, so that your name can be put on an official record or list"
EXAMPLE,I'd just arrived at the conference and hadn't had time to book in. 
HEADWORD,book on
DEFINITION,"to buy tickets for someone for a specific journey on a plane, train, or bus"
EXAMPLE,Could you book me on the 8.30 flight?
HEADWORD,boom out
DEFINITION,to make a deep loud sound that continues for some time
EXAMPLE,A voice boomed out from the loudspeakers.
HEADWORD,boot out
DEFINITION,"to make someone leave a place, their job, their school etc"
EXAMPLE,Anyone caught taking drugs was booted out. 
HEADWORD,border on
DEFINITION,"to be very close to a particular unpleasant quality, feeling, state etc, especially an extreme one"
EXAMPLE,She had a feeling of dislike for him that bordered on hatred. 
HEADWORD,borrow from
DEFINITION,"to use an idea, method, phrase etc that was first used by another person or in another place or situation"
EXAMPLE,English is full of words that have been borrowed from other languages. 
HEADWORD,boss around
DEFINITION,to keep telling other people what to do in a way that is annoying
EXAMPLE,He's used to bossing his little brother around. 
HEADWORD,botch up
DEFINITION,to do something very badly or carelessly
EXAMPLE,Police officers had botched up the entire investigation.
HEADWORD,bottle out
DEFINITION,to not do something because you do not feel brave enough
EXAMPLE,He was supposed to come with us but he bottled out at the last minute.
HEADWORD,bounce around
DEFINITION,to discuss something in an informal way
EXAMPLE,The festival was a chance for groups of musicians to bounce their ideas around. 
HEADWORD,bounce back
DEFINITION,"to become healthy, happy, or successful again after something bad has happened to you"
EXAMPLE,"He's sad about Sally leaving him, but he'll bounce back. "
HEADWORD,bounce into
DEFINITION,to make someone do something that they do not really want to do by not giving them enough time to think about it
EXAMPLE,They complained that they were being bounced into accepting last-minute decisions. 
HEADWORD,bow down
DEFINITION,to show a lot of respect to someone or something that is more powerful than you
EXAMPLE,His captors forced him to bow down before their leader.
HEADWORD,bow out
DEFINITION,"to give up a job or position, especially one that you have had for a long time"
EXAMPLE,"I've had a great decade with this company, but now it's time to bow out. "
HEADWORD,bow to
DEFINITION,"to agree to do what someone wants you to do, although you do not want to"
EXAMPLE,The government has repeated its message that it will not bow to the terrorists' demands. 
HEADWORD,bowl along
DEFINITION,"to move along quickly and smoothly, especially in a vehicle"
EXAMPLE,We were bowling along beside the edge of the cliffs.
HEADWORD,bowl out
DEFINITION,"in the sport of cricket, to get all of one team's players out and so end their turn at hitting the ball"
EXAMPLE,England were bowled out and lost by 66 runs. 
HEADWORD,bowl over
DEFINITION,"to impress someone very much by being extremely beautiful, exciting, attractive etc"
EXAMPLE,We were bowled over by the sheer beauty of the landscape. 
HEADWORD,box in
DEFINITION,to surround a person or vehicle so that they cannot move or leave a place
EXAMPLE,I was completely boxed in until the other driver came back. 
HEADWORD,box off
DEFINITION,"to separate an area from the rest of a place, especially by building a wall around it"
EXAMPLE,They've boxed off the bathroom.
HEADWORD,box up
DEFINITION,"to put something in a box, or to put things in boxes"
EXAMPLE,I'll ask my colleague to box the computer up for you. 
HEADWORD,branch out
DEFINITION,"to start doing something new or different, especially a new activity"
EXAMPLE,The company grew and began branching out. 
HEADWORD,brave out
DEFINITION,"to deal with an unpleasant situation in a confident, patient, and determined way"
EXAMPLE,"Grim though our situation was, we had no choice but to brave it out."
HEADWORD,break away
DEFINITION,"to leave a political party or other group, especially in order to start another one"
